model_id,model_name,unique_activities,category
e8d063b43401448b9ff63d0b9b44cb00,11 Receive Finished Goods into Inventory,"['Select Adopt+ Details', 'Select Delivery completed flag', 'Save Goods receipt', 'Navigate to Goods Receipt screen', 'Enter Goods movement info.']",Retail
e8d4c58f7091478486e3c142417f8c95,BasketHandlingDetails,"['Pay Invoice', 'Draft Invoice', 'Ship Goods to Customer', 'Receive Goods', 'Add Products To Basket']",Retail
e8dcec94db484de79799250092b89198,14-ch3_PurchaseOrder5 SE,"['Receive Payment', 'Retrieve product from warehouse', 'Check stock availability', 'Archive order', 'Get shipping address', 'Emit invoice', 'Confirm order', 'Ship product']",Retail
e8df6093abb0425e9a6b512c17774549,W1-P3(PARALLEL)(4-EXAMPLE),"['PROCEED TO DEPARTURE LEVEL', 'PASS SECURITY SCREENING', 'PROCEED TO SECURITY CHECK', 'PASS LUGGAGE SCREENING']",Travel and transportation
e8dfc8f80db74a12a89d44c30d113af0,FIgure 3.12_RothenbergJane Doe,"['Receive payment', 'Retrieve product from warehouse', 'Check stock availability', 'Archive order', 'Get shipment address', 'Emit invoice', 'Confirm order', 'Ship product']",Retail
e8e08bfdcb594c9093d801343f1938c9,New process,"['Calculate start date and interest rate', 'Schedule loan disbursement', 'Notify applicant']",Banking
e8e7c6e1a2344a21a699e367d791d39a,12345678_Jane Doe_MainProcess,"['Return to vaccinee', 'Cover syringe', 'Administer correct vaccine', 'Extract recommended dose into syringe', 'Take vaccine supply from storage']",Life sciences and healthcare
e8e82a49c39a4361bb63885b6068dc11,10.2.4 Manage asset construction,"['Create work and asset records', 'Manage safety, security, and access to sites', 'Monitor work performance', 'Undertake quality control']",Construction and real estate
e8e916b0ef9a405eb050f0b78e80f587,Fig 3.4 Jane Doe,"['Park invoice', 'Block invoice', 'Post invoice', 'Re-send invoice to customer', 'Check invoices for mismatches']",Other
e8eb635e49e5479e90edf272f8f3d113,Drop Operation,"['Check the Properties/ Characteristics of the Road/ Area on which User has placed the dragged object to be dropped', 'Show Road/ Area Exceptions', 'Check object Properties/ Characteristics', 'Allow to be dropped with Warnings or Suggestions']",Other
e8ee21d1b7d348dba07844d6aa4589a3,Create Internal Medicine Report,"['Add Internal Medicine report to patient medical file', 'Create internal medicine report']",Life sciences and healthcare
e8ee98a1fb6c48c29c1a9f3d8219fced,12345678_rev1,['Subprocess (H)'],Other
e8f327fbd654431dad9d3ea27b755dd9,W3-TASK3,['TASK'],Other
e8f337cb09974216815c67b31ddbba2f,As-is DUR,"['clear hard stop', 'call customers to verify', 'call doctor', 'suspend fulfillment', 'review the resolution', 'Review issues', 'review drug utilization']",Life sciences and healthcare
16aa11aa3a674fc9bbcc5cec63947bbd,MyNewProcess2,"['Seek statement from witnesses', 'Lodge insurance claim']",Insurance
16afdc73b6324770874afdd597a6a087,Figure4.3_Jane Doe,"['Select best quote', 'Obtain quote from Supplier', 'Emit order']",Procurement
16b4ad610b2648289a91f143bf183cbb,2.1.1. Determine Financial Risk (Copy),"['Create Risk Assessment Profile', 'Check Product Adequacy', 'Check Compliance Adequacy', 'Perform Credit Check']",Banking
16b56d38130548148044e7069df7d398,LAB 1 : order-to-cash,"['Archieve order', 'Recieve payment', 'Get shipment address', 'Emit invoice', 'Confirm order', 'Ship product']",Retail
16b6607d351e43ba94c63a15e0092513,No longer guarantee the trip,"['Invalid passport or visa application processed by an agent', 'Inform the client', 'TA can no longer guarantee the trip']",Travel and transportation
16bec55ecb814f158ea58d9adea0e290,6.5.4 Evaluate and manage warranty performance,"['Identify opportunities to eliminate warranty waste', 'Identify improvement opportunities', 'Measure customer satisfaction with warranty handling and resolution', 'Monitor and report on warranty management metrics', 'Investigate fraudulent claims']",Consumer products
16bf295e3d834fc28e150f2385f05327,Order Fulfillment Process,"['Receive payment', 'Archive order', 'Shop product', 'Get shipment address', 'Emit invoice', 'Confirm order']",Retail
16c85e94181a4819a75087f4de3754a2,Ioana-Crisan-1-b,"['Receive boarding pass', 'Pass personal security screening', 'Pass Luggage screening', 'Proceed to the departure level']",Travel and transportation
16cd5d5448124d59a420a075f9cb1567,Assess and grade applications,"['Subprocess (Assess and grade application)', 'Retrieve grading criteria']",Higher education and research
16d08ed221d249cc9172394946227a74,W4-P1[BACKUP DATABASE],"['backup server database', 'store backup in manager office']",Other
16d3adab88954a169c4acea83565036c,12345678_Zhong_Subprocess_Handle vaccination cancelation,"['Advise when to return', 'Reverse confirmation of vaccine receipt', 'Reverse registration']",Life sciences and healthcare
16d45dc4e4cd4050b2fb878d440453ba,Automated planning procedure (Copy),"['Calculate the cumulated figures from the past', 'Check the current figures against the forecast', 'Calculate agreed ranges of tolerance']",Other
16d517612b1f4015947d5801a34eb83c,"W7G3, P1(SDLC)","['TEST', 'ANALYSIS', 'CODE', 'DESIGN', 'IMPLEMENT SYSTEM']",Other
16d97c6f5143457ca66ea0dd46184990,MaintenanceProcess,"['Prepare Machine', 'Perform Maintenance', 'Clean Machine Components', 'Finish up Machine', 'Arrange Disposal of Old Machine Parts', 'Check Lubricants and Spare Parts', 'Check Personal Requirements', 'Check Basic Rules and Requirements']",Industrial manufacturing
16d9b79d41d94b9e9cb33c16af8feab3,Homework 2 - create app flow,"['User navigates to Create your first app page. Presses CREATE button', 'API Call: POST <acnapi_host>/apps/v', 'Routes to Register new app page', 'Route API Call: POST <jimmy_host>/apps/v', 'Fills up fields: App Name, Description', 'Presses CREATE button']",Other
16d9c65324004b7e85e605e6447fbabb,insurance claim,"['lodge insurance claim', 'Ask witness']",Insurance
16dad55eca5340b49f36644f2a490dbc,general process,"['Translate the model into agents', 'Identify data', 'Identify handovers of work', 'Identify similar tasks', 'Perform agent-based simulation', 'Convert data in event logs', 'Collect data', 'Mine the event logs', 'Identify roles']",Other
16de55a2c2334fa99dc7ca806ab81054,Übung 3 Seite 47 BPMN,"['Enter book number', 'Search for book', 'Reserve Book', 'Confirm reservation', 'Save reservation for book number']",Other
16de604fae3b466b85ef3cb0225f1ccf,Pharmacy Fulfillment Process,"['quality assurance', 'pick up', 'production', 'drop off', 'data entry']",Life sciences and healthcare
16dfdd6278374d0d8a117ac4afe43e7d,Claiming process 2,"['Keep electronic form of prescriptions', 'Receive return message', 'Close Claim transaction activated', 'Receive ""certification of supply"" statement', 'Acknowledge the statement', 'Alert Pharmacist to report missing prescription', 'Send Close Claim transaction']",Life sciences and healthcare
16e03a305db84c2f9c0f3324ee3c3859,12345678,"['Submit Application', 'Respond to Proposed Offer', 'Negotiate Terms and Conditions', 'Attend Medical Assessment', 'Attend Interview']",Other
16e69283341b457c84e7b90bbb94f9e1,W3G4.P2(ORDERTOCASH),"['CONFIRM ORDER', 'SHIP PRODUCT', 'EMIT INVOICE', 'GET SHIPMENT ADDR', 'ARCHIVE ORDER']",Retail
16e9cd77874846ecae98959164178f21,BeJane Doe Expanded Process,"['Example Claim', 'Subprocess (Prepare settlement)', 'Notify claimant of settlement']",Insurance
16ec426e0c5143e5b2554bda9233b025,Procurement Process,"['Receive invoice', 'Receive materials', 'Create Purchase order', 'Send Purchase order', 'Pay the invoice']",Logistics/Wholesale distribution
16f15f5ee7424c6daeca3da65c92aa7c,Prepare Drugs for Prescription,"['Count and verify drugs', 'Store script in pick-up area', 'Seal script', 'Assure quality']",Life sciences and healthcare
16f24153f666430f83fb4bb1a302b44b,01 Claim lodgement process (Copy),"['Attach supporting documents', 'Access claim form', 'Submit claim form', 'Complete details']",Insurance
16f315dda5eb49c8bbe7953e91adb1c9,INSERIMENTO FISICO ARTICOLI IN SILO1,"['MODIFICA UBICAZIONE', 'STAMPA TARGHETTA BARCODE', 'MODIFICA SETTORE', 'MOVIMENTAZIONE COMPONENTE', 'MOVIMENTAZIONE VASSOIO', 'APPLICAZIONE TARGHETTA', 'MODIFICA CONFIGURAZIONE VASSOIO', 'FOTOGRAFARE COMPONENTE', 'INSERIMENTO FISICO']",Other
16f38a34dcf441d895374f70cb764a4e,03_14_exercise1_credit_request,"['Simple risk assessment', 'Complete Assessment', 'Assess risk', 'Organize disbursement', 'Advanced risk assessment', 'Notify the result of the assessment']",Banking
16f79f7815f1444a8eb80c0298dddd89,W3G2.P3,"['CONTACT AIRLINE', 'SHIP GOODS', 'PREPARE DO', 'CONTACT CONTAINER PORT']",Travel and transportation
16f8c8edf7d44b34b5ac424a23b44283,5 und 6 getSources,"['npm run build:oxid --release=feature-docker- Config --config=auna--keep Git=true --oxid=true', 'call npm install', 'npm run build:oxid --release=feature-docker- Config --config=klarstein --keep Git=true --oxid=true', 'robocopy build --> app MIR MT:', 'git clone', 'npm run build:oxid --release=feature-docker- Config --config=estar--keep Git=true --oxid=true', 'set Branch and repo']",Other
16f9afe0c4fa4ee19e793a8f62348218,Identify potential customers,"['Identify new customer', 'Prepare report on customer', 'Submit request for report']",Other
16fc39198c21474ba8e9821d54f0b2f0,Receiving Proposal,"['Stock Items', 'Jane Doe Views Documents on Database', 'Updates Database and Informs Jane Doe', 'Place Orders', 'Receives and Verifies Orders Through Database', 'Jane Doe Inventory On Database']",Other
16fc8da3fad147e0858ada3ae4e126a8,Process 8: Solve Unpaid Problem (Level 2.5),"['Receive paid appointment', 'Confirm payment']",Other
16fd92d4078340d68f5ab651ff03ce68,Check liability,"['Check credit history', 'Check character']",Banking
1700bc7463a34c4991c0a1c4a76fd414,Figure 3.1_Jane Doe,"['Receive payment', 'Archive order', 'Get shipment address', 'Emit invoice', 'Confirm order', 'Ship product']",Retail
1702416507194ed7978228ba59065bb4,Jane Doe C.,"['Driver monitoring', 'Order given to the dispatcher', 'Driver arrives in time', 'Information given to the driver', 'Driver use the application', 'Information given to the nightshift dispatcher', 'Confirmation of the received information']",Travel and transportation
1705c2348fe34c01a664aa30a3993aec,Administer vaccine,"['Return to vaccinee', 'Cover syringe', 'Administer correct vaccine', 'Take vaccine supply', 'Extract recommended dose into syringe']",Life sciences and healthcare
1705f9c469934f7bb317d8ef52638ee6,New Process,"['take article from stock', 'wrap article', 'send article']",Retail
170d2173e38747b48d7c78c95e978f69,Jane Doe Assignment 8 Top Level Process,"['Create sales order', 'Create manufacturing', 'Assemble and test drill bit']",Industrial manufacturing
17119221cbd6489e9bad388f28a4d789,.,"['asking the user for confirmation that all fields are correct', 'asking if there are further relevant notes', 'asking the user for his full name', 'asking the user for the address of the company', 'asking the user for the company name', 'asking which type of real-estates will be published', 'asking the user for his email address', 'asking the user who are target group', 'asking the user for his phone number', 'asking the average of ads per month']",Construction and real estate
172606b265b840e79f47817610e71024,Revisited FAR model (Gov kick off) (with rec),"['Compile list of equipment used by UGA', 'Receive approval/denial letter', 'Fill out will in NDAA Certification', 'Fill out does in NDAA Certification', 'Finalized list to government agency']",Government
172a456339dd4fea9308e8385775a6ec,Arrange on-site inspectation,"['send customer notification', 'find out possible inspectation date and time', 'receive customer reply']",Professional services
172ec2a902c245a3b5bba70f17e08a35,"W6G3,P2(TIMER) (V2)","['BOOK TRIP', 'PACK SUIT CASES', 'CHOOSE DESTINATION']",Travel and transportation
172eccb2c02f432eb4db24611e8b5dd9,Requirement Selection,"['Assign work to self', 'Enter requirement type', 'Select requirement type', 'Receive client response', 'Assign work to team member', 'Investigate request for minimum minutes', 'Allocate number of hours needed for project', 'Convey to client', 'Problem fix', 'Save and assign requirement manually', 'Allocate requirement', 'Change request', 'Request few more hours to further investigate request']",Professional services
172fd136844d4cecbcc250f5cf8a5f79,Planning,"['Create time table', 'Order requests', 'determine priority']",Other
17381ffb44c84427a076e410a8e65a98,Car Wash Process (IA),"['Collect Payment', 'Dry Car', 'Prepare sales slip', 'Determining customer preferences', 'Clean Car']",Other
173c9630db354edf879262a70a52ff5e,5. Testing,"['Agree on the conduct of testing', 'Determine when and how the project team and the receiving business unit collaboration can approve the delivery', 'Testing of new end to end process is described and expectations matched', 'Align expectations on the extent and purpose of testing the project']",Other
173d38b66f8d4c99a5085a5980cc3cda,p10 - Reconcile Payment Advance (ExpSubProcess) (Phase 2) (Copy),"['Check itemised list against receipts', 'check totals match to original advance', 'Subprocess (Resolve TAR Issues)', 'Received by internal post before days', 'Check TAR form for issues', 'list any discrepancies found', 'Enter authorised expendiature', 'Check for authorised expendiature', 'Submit TAR and Receipts', 'Attach business expense receipts']",Other
173f2fdde5dc4130a047c7db549b8d79,Approval branching (Copy),"['Approved', 'Approval', 'Rejected', 'Modify request']",Other
1743bad3f7444ec3a7117ebeda89effb,12345678,"['Investigation and Diagnosis', 'Resolution and Recovery']",Life sciences and healthcare
1745ff1b8df04c108766b47a2c802a15,Ornament each kit,"['Hold kit as inventory buffer for ornamenting staff', 'Ornament the shoe', 'Transfer back to supervisor by the conveyor']",Consumer products
1746b3df65054d379385b44b71031410,New Process,"['generated pdf', 'checks the documents', 'submits the form', 'receives documents', 'fill an online form', 'submit documents', 'receives form']",Other
174c1c9bea9d469aa3da64c2bb76b995,Vehicle's interior inspection,"['Sit in drivers seat', 'Inspect odometer', 'Inspect seatbelts', 'Inspect gearing']",Automotive
175687659bf745f5a37df2cff5d5567e,Normative_Notify_before_SendProd_Feedback_Dispute_noParallel,"['Check Order', 'Receive Payment', 'Receive Order', 'Approve Invoice', 'Release Invoice', 'Handle Dispute', 'Receive Feedback']",Retail
175898f369754f0090a168be6e14fc0c,L1: personal act,"['Drink coffee', 'Get out off bed', 'Eat sandwiches', 'Start coffee machine', 'Drive to Namur', 'Wash myself']",Other
1761decde1504be68eb0b53fdb9c7b6c,Figure 3.4,"['Park invoice', 'Block invoice', 'Post invoice', 'Re-send invoice to customer', 'Check invoice for mismatches']",Other
176560e0f69442d9a38816b13c33de45,Ex 3.5_Speed,"['Proceed to security check', 'Pass luggage screening', 'Pass security screening', 'Proceed to departure level']",Travel and transportation
17662890b1cc462e875c6a6cf1095fc5,Completeness Check,"['Check personal information', 'Check quote', 'Check pictures']",Other
1768cba16c074e25bcd065ef7c8868f9,LAB4,"['EMITERE OP', 'ARHIVARE DOSAR', 'OFERIRE ASISTENTA SUPLIMENTARA', 'INFORMARE AGENT', 'CONFIRMARE DAUNA', 'CREARE DOSAR DAUNA', 'VERIFICARE CERERE']",Insurance
1769c987ad9b44dc88b81fdb186cc70d,Sub redo ad-sticker,"['Send updated ad-sticker', 'Manufacture new ad-sticker']","Media, sports, and entertainment"
176c5fcc8d19412684e6f4a73de78b50,Finish prescription Subprocess,"['Leave prescription in pickup area', 'Double check prescription']",Life sciences and healthcare
176f7b30a7234c8b9ccd0e31eb8d6f6d,FIRST DIAGRAM,"['Ship Product', 'Archive Order', 'Emit Invoice', 'Receive Payment', 'Get Shipment Address', 'Confirm Order']",Retail
1771f9c7ccea4608a5c16344697c4c1e,Zach's Super Cool Model,"['Perform Assessment', 'Check validity of Claim', 'Check For Completeness', 'Authorise Repair', 'Notify about outcomes', 'Register Claim', 'Schedule Payment', 'Reject Claim']",Insurance
1772e3486c50444c82c7af5fba829ead,9.7.2 Manage cash,"['Manage and reconcile cash positions', 'Produce cash management accounting transactions and reports', 'Process and oversee electronic fund transfers (EFTs)', 'Develop cash flow forecasts', 'Manage and oversee banking relationships', 'Manage cash flows', 'Analyze, negotiate, resolve, and confirm bank fees', 'Manage cash equivalents']",Banking
1773a558595b4376b1ef2852c2db3ec7,PREPARARE PIZZA,"['IMPACHETARE COMANDA', 'COACERE PIZZA', 'PREGATIRE INGREDIENTE', 'PREPARARE ALUAT', 'ADAUGARE INGREDIENTE PE BLAT']",Other
1776c65841924f299a88ccde75efee83,Base 4 inspection (redesign),"['Inspect tie Jane Doe', 'Copy inspection documents', 'Give vehicle and copied inspection documents', 'Inspect frame components', 'Sign inspection form', 'Raise car', 'Inspect steering components and suspension', 'Notify customer']",Automotive
1776cf260a85463cbf2d66a7e11940eb,High-level model,"['Notification and payment', 'Assess claim', 'Enter and verify claim']",Insurance
177fa09bd11f47b598d8d7890ec3837e,11.4.5 Manage outside counsel,"['Receive strategy/budget', 'Receive work product and manage/monitor case and work performed', 'Engage/retain outside counsel if necessary', 'Track legal activity/performance', 'Process payment for legal services', 'Assess problem and determine work requirements']",Professional services
17803ccfcd0445f18da7aa0f066463e8,Base 4 Inspection Process,"['Check for fluid leaks, worn components, and any other abnormalities', 'Raise vehicle to height', 'Inspection of undercarraige, tie Jane Doe steering /frame components']",Automotive
178041046381432daf97e0c69715b485,Preoperative_Planning,"['Determine RENAL nephrometry score', 'Do bowel preparation', 'Undertake staging assessment', 'Use preoperative abdominal computed tomography', 'Discontinue anticoagulants']",Life sciences and healthcare
1781e3b389f8402cb6bd1b79065bd2f9,IBM Fall,"['Check the potential borrowers creditworthiness', 'determine the appropriate interest rate to charge the customer', 'Turn the information into quote letter', 'Modify the standard loan covenant', 'Log the request', 'Attach the special terms']",Banking
17828db0c65648a3a52329969bc7b358,12345678,"['Receive payment', 'Check payment from previous week', 'Update account receivable']",Banking
178509674e064d57be3020b8d16d5df0,Hem fabric,"['hem back', 'Hem sleeves', 'hem front']",Consumer products
17888aaeccd3405ba8dfc03f8e57a9d6,New Process,['Activity'],Other
178a39512fe343f1a8d8c018ecf16ae7,Research Process,"['Exploratory Case Study 3', 'Conducting Action Research to Formulate Initial Model', 'Exploratory Case Study 1', 'Exploratory Case Study 2', 'Determining the Need for Measurement Capability Model', 'Exploratory Case Study 4', 'Explanatory Case Study']",Higher education and research
178b501c62c24a6b9918273eefe151bf,Finalise  customer document,"['Collect application fee', 'Print physical files', 'Prepare legal documentation']",Other
178f6599c7a94b0b89bee7ae5396600f,Provide necessary treatment,"['Provided emergency treatment', 'Bring to emergency department']",Life sciences and healthcare
179640556b554791bd8ecb9023c042e0,3.lasting,"['staple insole', 'inspect and pack', 'Toe and heel seat lasts', 'Rough sole and pound', 'cement sole and pull last']",Consumer products
179a36c04e0544f58c0022f71ec46a8b,Exploring Signavio - Admission Process,"['Applicant Assessment', 'Accept Application before deadline']",Higher education and research
179ae3d95d944a6aa852fe59ad32ee14,Processo gestao de sotcks para CA,"['Update the file Updating Sales', 'Update the file Algorithm', 'Add the file Sales of previous month in the file Updating Sales', 'Prepare an excel file for each retailer with the new levels', 'Updating the file Compare Levels', 'Prepare file with the outputs of the previous file and put the new one on the file Compare Levels']",Retail
179d256dbf6a461fba8c3780e5251e25,Sign Loan,"['Schedule contract signing', 'Sign contract', 'Schedule loan disbursement']",Banking
179f03112582423e9f185e78fa070b16,Evaluate Candidate,"['Prepare job ads', 'Evaluate internal applicants', 'Host Interviews']",Other
17aa0bc2de3a4026abeda2417e77eb6a,Jane Doe Assignment 8 Project Engineering Sub-Process,"['Create Manufacturing Instructions', 'Pour Drill Bit Base', 'Prepare Iron Ore', 'Cast Rotor Teeth']",Industrial manufacturing
17af1ac236be42e7b2a93dc262bce3c8,Simple_Case_001(2OrderOf2),"['Check Order', 'Receive Payment', 'Receive Order', 'Approve Invoice', 'Ship Products', 'Release Invoice', 'Send Shopping Notification']",Retail
17b480c646c34b3ca086eda3bc5eee67,080-D 1,"['-step de-icing', 'check plane', 'decide which procedure', 'check information about plane', 'add details about procedure']",Aerospace and defense
17b7434fb01549c9a5611497b1522e05,Jane Doe Assignment 8 Technical Services Sub-process,"['Ship drill bit to customer', 'Notify customer', 'Assemble drill using instructions from database']",Industrial manufacturing
17b77dc7b2d9425ba7c17271f5d81a7e,BPMN Exercise 1,"['Verify the repayment agreement', 'Acceptance pack sent to customer', 'Loan provider cancels application', 'Acceptance pack prepared', 'Loan provider approves the application', 'Notify customer of the status', 'Customer receives acceptance pack']",Banking
17b889ec7c0b48c59fd4ff871534f1b9,W4-P2(SHIP GOODS1),"['CONTACT CONTAINER PORT', 'SHIP GOODS', 'CONTACT AIRLINES', 'PREPARE DO']",Travel and transportation
17bcee8bbf4d4ab5b1c7288db386a2cf,InsureIT,"['Assess Claim', 'Verify Claim', 'Distribute Payments']",Insurance
17bde0c154484736a00cfab28e7c8c4b,2019-12-03 Question 5a,"['Pack parcel', 'Receive parcel', 'Send to Malmö', 'Receive order', 'Send parcel', 'Fulfill order', 'Send to Linköping', 'Get products']",Retail
17c0be2e5bb14090bc61714ae5a5018e,Give vaccination,"['Check form to confirm vaccine', 'Invite to small table', 'Subprocess (Administer vaccine)', 'Check form for complications']",Life sciences and healthcare
17c2dfc2ce81408a90e3d59f521052d0,Assignment-1-Insurance Claim,"['Claim is lodged', 'Wait for the Statements', 'Insurance Claim received', 'Statements Received from witnesses']",Insurance
17c348b07bcd42419eea173a6ec5aae2,Data Objects,"['Modify Important Document', 'Improve Opinion', 'Analyse Important Document', 'Receive Opinion', 'Send Opinion Request']",Other
17c6e8b0764e447b9a60076c77f1c7cd,03b Get booking dates (Copy),"['Collate and provide range of dates', 'Note claim details']",Other
17c74b111c40421481b571e4d1a40666,Book Travel and Accomodations,"['Select Flight and Accommodation', 'Book accommodation', 'Book Flight', 'Search Best Flights and Accommodations']",Travel and transportation
17cbc292ce834a998a6e09e56e1f9e69,rate quality in register tab 'supplier evaluation',"['rate quality regarding results of inspected incoming goods', 'rate processing of reclamations', 'rate delivery quality', 'rate total number of repeated errors']",Other
17cfea3627e94db29d76b26728f8f565,Figure 4.1_Jane Doe,"['Investigate Ministerial Enquiry', 'Register Ministerial Enquiry', 'Finalize Ministerial Response']",Government
17d4962c26434d209cd79d02d080acad,W4-P2(TIMER EVENT) (TRAVEL),"['PACK SUITCASE', 'BOOK FLIGHT and HOTEL', 'CHOOSE DESTINATION']",Travel and transportation
17d5e8e9356f48cb96f48e748b532f18,prepare delivery note for storage,"['circle delivery note number always with red pen', 'stick barcode at delivery note', 'stamp with date, department, responsible person', 'underline the order number in delivery note']",Other
17d6d6f272d3485d96e3b3f266f6d544,Provide Quotation,"['Collect Feedback', 'Collect Competitors Offers', 'Collect Customer Information', 'Collect Relevant Event Information', 'Calculate Quotation', 'Collect Availability and Demand Data']",Professional services
17e1a9e5875141fb87db055a6ba8d895,12.1.5 Improve processes,"['Perform continuous improvement activities', 'Manage improvement projects', 'Identify and select improvement opportunities']",Other
17e5f4b6eead4894af25d68f2ee3c109,Overall Maveric  Main Process 298,"['Drop Operation', 'Drag Operation']",Other
17e8036dcbec4025aed635b0c98ef936,Customer Follow up,"['Disbursement organized', 'Notify customer']",Other
17e8fed0239548549994aec97435b39b,CVS Overall Value Chain,"['Production & Delivery', 'Drop-Off']",Retail
17ea4b60fb68416badede6a6086c7a20,New Process,"['Receive pick list', 'Pick and Pack', 'Prepare Stock', 'Create DO', 'Do Shipment', 'Good Issue']",Logistics/Wholesale distribution
17ef282d97fd4dcda1e308d7ccab61a9,Determine Driver Risk Category,"['Check drivers number of accidents', 'Check drivers conviction of DUI', 'Check drivers number of driving violations']",Insurance
17f08cfa0ea444acb94bb986d2f545ec,Figure 3.17_Jane Doe,"['Check stock availability', 'Subprocess']",Other
17fb7bb353964a63b78365e5ee0161dd,Overall Maveric  Main Process 328,"['Add or Delete Traffic Light', 'Drag & Drop Traffic Light']",Other
17fbf4ed23124f119e33541b9a3ad283,BPM_3.14_12345678_Jane Doe,"['Receive New Credit Card', 'Acces The Risk', 'Carry out simple risk assessment', 'Carry out advanced risk assessment', 'Complete the assessment', 'Notify the customer with the result of the assessment', 'Organize The Disbursement']",Banking
1800e9a2845c4ab79b63b96056f4367c,Create official loan application,"['Create loan application', 'Establish file', 'Validate loan request', 'Check bank satisfaction']",Banking
180619a4cc7548e8bdca53cd32e8a986,LV1_CustomerService*,"['Confirm to sent the the product', 'Create content', 'Customer context us', 'Receive problems', 'Record expense from customers', 'Improve company from problems record', 'Receive the order from customers', 'Record problems', 'Receive customers feedback', 'Separate the problems', 'Analyze and solve the problem for customer and company']",Consumer products
18081717acf84778ae64f0634cb6111a,Figure3.1_Jane Doe,"['get shipment address', 'receive payment', 'confirm order', 'archive order', 'ship product', 'emit invoice']",Retail
